frame_index,timestamp,character_x,character_y,character_facing,character_confidence,monster_count,monster_centers,a_wave_state,a_wave_direction,a_wave_confidence,a_wave_provenance,registration_ok,registration_confidence,quality_flags
21114,798.4011,,,left,0.55,1,"[[756.0, 723.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21166,800.457033,,,unknown,0.0,1,"[[414.0, 379.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21221,802.4782,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21275,804.4855,,,unknown,0.0,3,"[[1320.0, 769.0], [382.0, 411.0], [922.0, 769.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21327,806.5067,,,unknown,0.0,1,"[[1378.0, 765.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21381,808.534833,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21437,810.555967,,,right,0.55,1,"[[686.0, 409.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21494,812.584133,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21546,814.591433,,,left,0.55,1,"[[1514.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21600,816.6126,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21652,818.6685,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
21705,820.717433,,,left,0.55,1,"[[656.0, 389.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
